user_id,age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score,screen_time_bin,age_group,screen_to_sleep_ratio,pre_sleep_phone_pct,notif_per_screen_hour,digital_load_hours,stress_fatigue_index,wellness_score,sleep_deficit_hours,is_heavy_user,phone_before_sleep_flag,short_sleeper,high_stress_flag,sedentary_flag,log_daily_screen_time_hours,log_phone_usage_before_sleep_minutes,log_notifications_received_per_day,log_physical_activity_minutes,screen_x_caffeine,presleep_x_stress,activity_x_sleep_quality,screen_time_sq,presleep_phone_sq,notifications_sq,gender_encoded,occ_Doctor,occ_Freelancer,occ_Manager,occ_Researcher,occ_Software Engineer,occ_Student,occ_Teacher
1,56,Female,Designer,3.26,86,5.31,7.72,3.49,0,35,119,3.57,2-4h,>55 ans,0.6139,26.99,36.5,4.693,3.53,4.813,2.69,0,1,1,0,0,1.4493,4.4659,4.7875,3.5835,0.0,300.14,270.2,10.6276,7396,14161,1.0,False,False,False,False,False,False,False
2,46,Female,Teacher,1.85,32,7.36,9.7,3.01,0,16,297,1.91,< 2h,46-55 ans,0.2514,7.25,160.54,2.383,2.46,6.957,0.64,0,1,0,0,1,1.0473,3.4965,5.6971,2.8332,0.0,96.32,155.2,3.4225,1024,88209,1.0,False,False,False,False,False,False,True
3,32,Female,Designer,3.04,107,4.5,6.38,5.03,0,17,22,6.05,2-4h,26-35 ans,0.6756,39.63,7.24,4.823,5.54,1.633,3.5,0,1,1,0,1,1.3962,4.6821,3.1355,2.8904,0.0,538.21,108.46,9.2416,11449,484,1.0,False,False,False,False,False,False,False
4,25,Male,Software Engineer,9.0,36,6.68,5.53,10.0,0,3,220,9.92,> 8h,≤25 ans,1.3473,8.98,24.44,9.6,9.96,-4.42,1.32,1,1,0,1,1,2.3026,3.6109,5.3982,1.3863,0.0,360.0,16.59,81.0,1296,48400,0.0,False,False,False,False,True,False,False
5,38,Female,Teacher,3.52,56,7.57,6.69,6.71,4,92,167,5.99,2-4h,36-45 ans,0.465,12.33,47.44,4.453,6.35,1.513,0.43,0,1,0,0,0,1.5085,4.0431,5.124,4.5326,14.08,375.76,615.48,12.3904,3136,27889,1.0,False,False,False,False,False,False,True
6,56,Male,Teacher,7.26,10,7.79,6.16,10.0,2,50,198,7.85,6-8h,>55 ans,0.932,2.14,27.27,7.427,8.925,-3.007,0.21,1,0,0,1,0,2.1114,2.3979,5.2933,3.9318,14.52,100.0,308.0,52.7076,100,39204,0.0,False,False,False,False,False,False,True
7,36,Female,Teacher,4.56,83,6.81,6.81,5.38,0,19,39,5.52,4-6h,36-45 ans,0.6696,20.31,8.55,5.943,5.45,1.747,1.19,0,1,0,0,1,1.7156,4.4308,3.6889,2.9957,0.0,446.54,129.39,20.7936,6889,1521,1.0,False,False,False,False,False,False,True
8,40,Male,Manager,3.36,89,6.5,8.75,3.48,2,66,127,4.5,2-4h,36-45 ans,0.5169,22.82,37.8,4.843,3.99,6.37,1.5,0,1,0,0,0,1.4725,4.4998,4.852,4.2047,6.72,309.72,577.5,11.2896,7921,16129,0.0,False,False,True,False,False,False,False
9,28,Male,Student,2.3,109,7.57,8.05,3.46,3,103,99,2.52,2-4h,26-35 ans,0.3038,24.0,43.04,4.117,2.99,6.307,0.43,0,1,0,0,0,1.1939,4.7005,4.6052,4.6444,6.9,377.14,829.15,5.29,11881,9801,0.0,False,False,False,False,False,True,False
10,28,Female,Manager,9.75,46,4.73,5.52,10.0,3,56,121,10.0,> 8h,26-35 ans,2.0613,16.21,12.41,10.517,10.0,-3.547,3.27,1,1,1,1,0,2.3749,3.8501,4.804,4.0431,29.25,460.0,309.12,95.0625,2116,14641,1.0,False,False,True,False,False,False,False
